TIPO_CADENA;CODIGO_ANSI;PASO_P_MM;DIST_PLACAS_INT_B_MM;DIAM_PERNO_C_MM;LONG_PERNO_S_MM;LONG_TOTAL_D_MM;LONG_TOTAL_E_MM
SIMPLEX;35;9,525;4,77;3,58;9,50;20,80;21,60
SIMPLEX;40;12,700;7,85;3,96;9,50;25,10;26,20
SIMPLEX;50;15,875;9,40;5,08;11,90;31,30;33,10
SIMPLEX;60;19,050;12,57;5,94;14,30;38,60;40,60
SIMPLEX;80;25,400;15,75;7,92;19,10;50,30;53,30
SIMPLEX;100;31,750;18,90;9,53;23,80;61,80;66,10
SIMPLEX;120;38,100;25,22;11,10;28,60;76,40;80,40
SIMPLEX;140;44,450;25,22;12,70;33,30;84,80;89,40
SIMPLEX;160;50,800;31,55;14,27;38,10;99,60;104,40
